news_id,checked_by,posted_by,comment,date,created_at,checked_at,use_forum_alias,archivedAt
10,4,17,unerträglicher Blödsinn.,2015-07-13 15:16:04,2015-07-13 15:16:04,2015-07-13 15:32:40,0,NULL
8,4,17,"Hauptsache es werden weitere Feindbilder aufgebaut, getrieben von der Angst. Die größte Waffe allerzeiten!",2015-07-13 15:18:03,2015-07-13 15:18:03,2015-07-13 15:32:47,0,NULL
9,4,14,"Braucht das Bonner Schauspiel in seiner jetzigen gefährdeten Situation nicht einen Dramaturgen, der sich auf Bonn konzentrieren kann ohne auf 4 weiteren Hochzeiten zu tanzen",2015-07-13 15:19:59,2015-07-13 15:19:59,2015-07-13 15:32:53,0,NULL
7,4,14,"Update: Der Deutsche Bühnenverein und die Gewerkschaften haben sich gestern auf die geforderten Gagenerhöhungen geeinigt. „Die Lohnerhöhung stand nie zur Diskussion. Auch wir wollen, dass die Künstler den wohlverdienten Lohnzuwachs bekommen. Die Warnstreiks der letzten Tage waren also völlig überflüssig“, so der Direktor des Bühnenvereins, Rolf Bolwin. Es habe jedoch Diskussionen um die von der Tariferhöhung betroffenen Lohnanteile gegeben. mehr unter: http://www.buehnenverein.de/de/presse/pressemeldungen.html?det=419",2015-07-13 15:20:25,2015-07-13 15:20:25,2015-07-13 15:33:00,0,NULL
6,4,22,"Ihre Aussage: ""Was an vielen Häusern auch der Realität entsprechen dürfte, z.B. für Regieassistenten."" entbehrt jedem Anspruch auf Wahrheit oder zeugt von erheblichem Unwissen. Regieassistenten sind jene Personen, die in Endproben-Wochen bis zu 70/80 Stunde pro Woche arbeiten. Gerade diese Berufsgruppe herauszuheben, als jene, die max. 48h pro Woche arbeitet ist einfach lächerlich. Oft wird an den Häusern die Stelle der Soufleuse eingespart, diese Arbeit übernimmt auch noch Regieassistent. Inspizienten fehlen, diese Aufgaben übernimmt der Regieassistent obendrein, der ja ohnehin auch noch die Abendspielleitung übernimmt ... Selbst wenn ein Assistent mal 48h pro Woche arbeiten sollte, dann macht er aber in dieser Zeit oft den Job von 3 anderen Personen. Bitte hören Sie auf, Berufsgruppen gegeneinander auszuspielen. Was wir brauchen ist breite Solidarität!",2015-07-13 15:21:52,2015-07-13 15:21:52,2015-07-13 15:33:07,0,NULL
6,4,4,"Da habe ich mich wohl missverständlich ausgedrückt: ich meinte, dass GERADE die Regieassistenten DEFINITIV diese genannten 48 Wochenstunden und länger arbeiten. Sorry, hab ich schlecht formuliert. Danke für den Kommentar - dadurch hab ich die Chance, das zu klären.",2015-07-13 15:27:41,2015-07-13 15:27:41,2015-07-13 15:33:14,0,NULL
6,4,22,War auch so ganz klar zu verstehen. Jeder der am Theater beschäftigt war oder ist kennt das Problem.,2015-07-13 15:28:31,2015-07-13 15:28:31,2015-07-13 15:33:21,0,NULL
6,4,22,"Schade, dass man den Artikel nur eingeloggt lesen kann, den würde ich gerne zum Beispiel auf Facebook weiterverbreiten.",2015-07-13 15:28:55,2015-07-13 15:28:55,2015-07-13 15:33:28,0,NULL
6,4,4,"Wenn Du dazuschreibst, dass Du ihn auf theaterjobs.de gelesen hast und meinen Namen als Autor angibst, darfst Du ihn gern auf Facebook teilen. Copy&amp;Paste! Das gilt natürlich für alle Kolleg*innen. :-)",2015-07-13 15:29:18,2015-07-13 15:29:18,2015-07-13 15:33:35,0,NULL
